Cecily Neville,JCC York
Anne de Beauchamp,JCC York
Vo Nguyen Giap,First Indochina War (Bilingual)
Le Duan,First Indochina War (Bilingual)
Pham Van Dong,First Indochina War (Bilingual)
Truong Chinh,First Indochina War (Bilingual)
Hoang Van Thai,First Indochina War (Bilingual)
Souphanouvong,First Indochina War (Bilingual)
Son Ngoc Minh,First Indochina War (Bilingual)
Kaysone Phomvihane,First Indochina War (Bilingual)
Phoumi Vongvichit,First Indochina War (Bilingual)
Tou Samouth,First Indochina War (Bilingual)
Phiset Phanit,First Indochina War (Bilingual)
Norodom Sihanouk,First Indochina War (Bilingual)
Son Ngoc Thanh,First Indochina War (Bilingual)
Archibald Penfield,First Indochina War (Bilingual)
Zhou Yiwei,First Indochina War (Bilingual)
Van Tien Dung,First Indochina War (Bilingual)
Le Duc Tho,First Indochina War (Bilingual)
Ton Duc Thang,First Indochina War (Bilingual)
Henri Rousseau,First Indochina War (Bilingual)
Li Si,The Court of Qin Shi Huang
Xu Fu,The Court of Qin Shi Huang
Fu Su,The Court of Qin Shi Huang
Zhao Gao,The Court of Qin Shi Huang
Meng Tian,The Court of Qin Shi Huang
Meng Yi,The Court of Qin Shi Huang
Zi Ying,The Court of Qin Shi Huang
Zhang Han,The Court of Qin Shi Huang
Liu Bang,The Court of Qin Shi Huang
Lady Zhao,The Court of Qin Shi Huang
Lü Buwei,The Court of Qin Shi Huang
Lao Ai,The Court of Qin Shi Huang
Wei Liao,The Court of Qin Shi Huang
Wang Ben,The Court of Qin Shi Huang
Wang Jian,The Court of Qin Shi Huang
Qin Er Shi,The Court of Qin Shi Huang
Minister of Defense,The Cabinet of Gamal Abdel Nasser
Minister of Interior,The Cabinet of Gamal Abdel Nasser
Minister of Foreign Affairs,The Cabinet of Gamal Abdel Nasser
Minister of Finance,The Cabinet of Gamal Abdel Nasser
Minister of Justice,The Cabinet of Gamal Abdel Nasser
Minister of Petroleum,The Cabinet of Gamal Abdel Nasser
"Minister of Housing, Utilities and Urban Development",The Cabinet of Gamal Abdel Nasser
Minister of Trade and Industry,The Cabinet of Gamal Abdel Nasser
Minister of Tourism,The Cabinet of Gamal Abdel Nasser
Minister of Religious Endowment,The Cabinet of Gamal Abdel Nasser
Minister of Communication and Information Technology,The Cabinet of Gamal Abdel Nasser
Minister of Immigration,The Cabinet of Gamal Abdel Nasser
Minister of Manpower,The Cabinet of Gamal Abdel Nasser
Minister of Agriculture,The Cabinet of Gamal Abdel Nasser
Minister of Education,The Cabinet of Gamal Abdel Nasser
Minister of Civil Aviation,The Cabinet of Gamal Abdel Nasser
President of the National Assembly,The Cabinet of Gamal Abdel Nasser
Minister of Health,The Cabinet of Gamal Abdel Nasser
Egyptian Ambassador to the United Nations,The Cabinet of Gamal Abdel Nasser
Minister of Transportation,The Cabinet of Gamal Abdel Nasser
Matthew Barzun,Ad Hoc
Le Yucheng,Ad Hoc
Dmitry Medvedev,Ad Hoc
Emmanuel Macron,Ad Hoc
Emily Thornberry,Ad Hoc
Grace Mendonça,Ad Hoc
Paul Mashatile,Ad Hoc
Raveesh Kumar,Ad Hoc
David MacNaughton,Ad Hoc
Minoru Kiharu,Ad Hoc
Alhaji Yusuf Maitama Tuggar,Ad Hoc
Tarek Hussein,Ad Hoc
Mahir Ünal ,Ad Hoc
Tzipi Hotovely ,Ad Hoc
Toni Brunner ,Ad Hoc
